Year,Area,ANZSIC06,Measure,Value,Flags
"2018","Canterbury Region","E324 Building Completion Services","Geographic Units",1923,
"2018","Canterbury Region","E302 Non-Residential Building Construction","Geographic Units",258,
"2018","Canterbury Region","E310 Heavy and Civil Engineering Construction","Geographic Units",324,
"2018","Canterbury Region","E321 Land Development and Site Preparation Services","Geographic Units",591,
"2018","Canterbury Region","D291 Waste Collection Services","Geographic Units",81,
"2018","Canterbury Region","D292 Waste Treatment, Disposal and Remediation Services","Geographic Units",78,
"2018","Canterbury Region","E301 Residential Building Construction","Geographic Units",2889,
"2018","Canterbury Region","D264 On Selling Electricity and Electricity Market Operation","Geographic Units",6,
"2018","Canterbury Region","D270 Gas Supply","Geographic Units",3,
"2018","Canterbury Region","D281 Water Supply, Sewerage and Drainage Services","Geographic Units",27,
"2018","Canterbury Region","D261 Electricity Generation","Geographic Units",12,
"2018","Canterbury Region","D262 Electricity Transmission","Geographic Units",3,
"2018","Canterbury Region","D263 Electricity Distribution","Geographic Units",6,
"2018","Canterbury Region","C249 Other Machinery and Equipment Manufacturing","Geographic Units",363,
"2018","Canterbury Region","C251 Furniture Manufacturing","Geographic Units",210,
"2018","Canterbury Region","C259 Other Manufacturing","Geographic Units",141,
"2018","Canterbury Region","C244 Domestic Appliance Manufacturing","Geographic Units",6,
"2018","Canterbury Region","C245 Pump, Compressor, Heating and Ventilation Equipment Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C246 Specialised Machinery and Equipment Manufacturing","Geographic Units",96,
"2018","Canterbury Region","C241 Professional and Scientific Equipment Manufacturing","Geographic Units",54,
"2018","Canterbury Region","C242 Computer and Electronic Equipment Manufacturing","Geographic Units",51,
"2018","Canterbury Region","C243 Electrical Equipment Manufacturing","Geographic Units",42,
"2018","Canterbury Region","C229 Other Fabricated Metal Product Manufacturing","Geographic Units",198,
"2018","Canterbury Region","C231 Motor Vehicle and Motor Vehicle Part Manufacturing","Geographic Units",102,
"2018","Canterbury Region","C239 Other Transport Equipment Manufacturing","Geographic Units",81,
"2018","Canterbury Region","C222 Structural Metal Product Manufacturing","Geographic Units",177,
"2018","Canterbury Region","C223 Metal Container Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C224 Other Sheet Metal Product Manufacturing","Geographic Units",51,
"2018","Canterbury Region","C213 Basic Non-Ferrous Metal Manufacturing","Geographic Units",6,
"2018","Canterbury Region","C214 Basic Non-Ferrous Metal Product Manufacturing","Geographic Units",9,
"2018","Canterbury Region","C221  Iron and Steel Forging","Geographic Units",3,
"2018","Canterbury Region","C209 Other Non-Metallic Mineral Product Manufacturing","Geographic Units",24,
"2018","Canterbury Region","C211 Basic Ferrous Metal Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C212 Basic Ferrous Metal Product Manufacturing","Geographic Units",9,
"2018","Canterbury Region","C201 Glass and Glass Product Manufacturing","Geographic Units",33,
"2018","Canterbury Region","C202 Ceramic Product Manufacturing","Geographic Units",9,
"2018","Canterbury Region","C203 Cement, Lime, Plaster and Concrete Product Manufacturing","Geographic Units",84,
"2018","Canterbury Region","C189 Other Basic Chemical Product Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C191 Polymer Product Manufacturing","Geographic Units",99,
"2018","Canterbury Region","C192 Natural Rubber Product Manufacturing","Geographic Units",3,
"2018","Canterbury Region","C183 Fertiliser and Pesticide Manufacturing","Geographic Units",15,
"2018","Canterbury Region","C184 Pharmaceutical and Medicinal Product Manufacturing","Geographic Units",15,
"2018","Canterbury Region","C185 Cleaning Compound and Toiletry Preparation Manufacturing","Geographic Units",24,
"2018","Canterbury Region","C170 Petroleum Refining and Petroleum and Coal Product Manufacturing","Geographic Units",15,
"2018","Canterbury Region","C181 Chemical Manufacturing","Geographic Units",9,
"2018","Canterbury Region","C182 Basic Polymer Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C152 Converted Paper Product Manufacturing","Geographic Units",15,
"2018","Canterbury Region","C161 Printing","Geographic Units",132,
"2018","Canterbury Region","C162 Reproduction of Recorded Media","Geographic Units",6,
"2018","Canterbury Region","C141 Log Sawmilling and Timber Dressing","Geographic Units",57,
"2018","Canterbury Region","C149 Other Wood Product Manufacturing","Geographic Units",225,
"2018","Canterbury Region","C151 Pulp, Paper and Paperboard Manufacturing","Geographic Units",6,
"2018","Canterbury Region","C133 Textile Product Manufacturing","Geographic Units",93,
"2018","Canterbury Region","C134 Knitted Product Manufacturing","Geographic Units",12,
"2018","Canterbury Region","C135 Clothing and Footwear Manufacturing","Geographic Units",75,
"2018","Canterbury Region","C122 Cigarette and Tobacco Product Manufacturing","Geographic Units",0,
"2018","Canterbury Region","C131 Textile Fibre, Yarn and Woven Fabric Manufacturing","Geographic Units",21,
"2018","Canterbury Region","C132 Leather Tanning and Fur Dressing","Geographic Units",18,
"2018","Canterbury Region","C118 Sugar and Confectionery Manufacturing","Geographic Units",9,
