Year,Area,ANZSIC06,Measure,Value,Flags
"2018","Canterbury Region","G39 Motor Vehicle and Motor Vehicle Parts Retailing","Employee Count",2600,
"2018","Canterbury Region","G40 Fuel Retailing","Geographic Units",159,
"2018","Canterbury Region","G40 Fuel Retailing","Employee Count",1400,
"2018","Canterbury Region","G41 Food Retailing","Geographic Units",783,
"2018","Canterbury Region","G41 Food Retailing","Employee Count",10500,
"2018","Canterbury Region","G42 Other Store-Based Retailing","Geographic Units",2577,
"2018","Canterbury Region","G42 Other Store-Based Retailing","Employee Count",15800,
"2018","Canterbury Region","G43 Non-Store Retailing and Retail Commission Based Buying and/or Selling","Geographic Units",315,
"2018","Canterbury Region","G43 Non-Store Retailing and Retail Commission Based Buying and/or Selling","Employee Count",240,
"2018","Canterbury Region","H44 Accommodation","Geographic Units",843,
"2018","Canterbury Region","H44 Accommodation","Employee Count",4600,
"2018","Canterbury Region","H45 Food and Beverage Services","Geographic Units",2253,
"2018","Canterbury Region","H45 Food and Beverage Services","Employee Count",16700,
"2018","Canterbury Region","I46 Road Transport","Geographic Units",1158,
"2018","Canterbury Region","I46 Road Transport","Employee Count",6400,
"2018","Canterbury Region","I47 Rail Transport","Geographic Units",6,
"2018","Canterbury Region","I47 Rail Transport","Employee Count",50,
"2018","Canterbury Region","I48 Water Transport","Geographic Units",9,
"2018","Canterbury Region","I48 Water Transport","Employee Count",70,
"2018","Canterbury Region","I49 Air and Space Transport","Geographic Units",45,
"2018","Canterbury Region","I49 Air and Space Transport","Employee Count",1800,
"2018","Canterbury Region","I50 Other Transport","Geographic Units",114,
"2018","Canterbury Region","I50 Other Transport","Employee Count",480,
"2018","Canterbury Region","I51 Postal and Courier Pick-up and Delivery Services","Geographic Units",513,
"2018","Canterbury Region","I51 Postal and Courier Pick-up and Delivery Services","Employee Count",1400,
"2018","Canterbury Region","I52 Transport Support Services","Geographic Units",207,
"2018","Canterbury Region","I52 Transport Support Services","Employee Count",2950,
"2018","Canterbury Region","I53 Warehousing and Storage Services","Geographic Units",132,
"2018","Canterbury Region","I53 Warehousing and Storage Services","Employee Count",800,
"2018","Canterbury Region","J54 Publishing (except Internet and Music Publishing)","Geographic Units",99,
"2018","Canterbury Region","J54 Publishing (except Internet and Music Publishing)","Employee Count",980,
"2018","Canterbury Region","J55 Motion Picture and Sound Recording Activities","Geographic Units",138,
"2018","Canterbury Region","J55 Motion Picture and Sound Recording Activities","Employee Count",290,
"2018","Canterbury Region","J56 Broadcasting (except Internet)","Geographic Units",21,
"2018","Canterbury Region","J56 Broadcasting (except Internet)","Employee Count",250,
"2018","Canterbury Region","J57 Internet Publishing and Broadcasting","Geographic Units",12,
"2018","Canterbury Region","J57 Internet Publishing and Broadcasting","Employee Count",0,
"2018","Canterbury Region","J58 Telecommunications Services","Geographic Units",39,
"2018","Canterbury Region","J58 Telecommunications Services","Employee Count",1400,
"2018","Canterbury Region","J59 Internet Service Providers, Web Search Portals and Data Processing Services","Geographic Units",66,
"2018","Canterbury Region","J59 Internet Service Providers, Web Search Portals and Data Processing Services","Employee Count",180,
"2018","Canterbury Region","J60 Library and Other Information Services","Geographic Units",45,
"2018","Canterbury Region","J60 Library and Other Information Services","Employee Count",460,
"2018","Canterbury Region","K62 Finance","Geographic Units",3528,
"2018","Canterbury Region","K62 Finance","Employee Count",2450,
"2018","Canterbury Region","K63 Insurance and Superannuation Funds","Geographic Units",63,
"2018","Canterbury Region","K63 Insurance and Superannuation Funds","Employee Count",1300,
"2018","Canterbury Region","K64 Auxiliary Finance and Insurance Services","Geographic Units",747,
"2018","Canterbury Region","K64 Auxiliary Finance and Insurance Services","Employee Count",1550,
"2018","Canterbury Region","L66 Rental and Hiring Services (except Real Estate)","Geographic Units",957,
"2018","Canterbury Region","L66 Rental and Hiring Services (except Real Estate)","Employee Count",2250,
"2018","Canterbury Region","L67 Property Operators and Real Estate Services","Geographic Units",14040,
"2018","Canterbury Region","L67 Property Operators and Real Estate Services","Employee Count",2750,
"2018","Canterbury Region","M69 Professional, Scientific and Technical Services (except Computer Systems Design and Related Services)","Geographic Units",5523,
"2018","Canterbury Region","M69 Professional, Scientific and Technical Services (except Computer Systems Design and Related Services)","Employee Count",19100,
"2018","Canterbury Region","M70 Computer System Design and Related Services","Geographic Units",933,
"2018","Canterbury Region","M70 Computer System Design and Related Services","Employee Count",4000,
"2018","Canterbury Region","N72 Administrative Services","Geographic Units",1143,
"2018","Canterbury Region","N72 Administrative Services","Employee Count",11400,
"2018","Canterbury Region","N73 Building Cleaning, Pest Control and Other Support Services","Geographic Units",1062,
"2018","Canterbury Region","N73 Building Cleaning, Pest Control and Other Support Services","Employee Count",4150,
"2018","Canterbury Region","O75 Public Administration","Geographic Units",132,
"2018","Canterbury Region","O75 Public Administration","Employee Count",6400,
"2018","Canterbury Region","O76 Defence","Geographic Units",9,
"2018","Canterbury Region","O76 Defence","Employee Count",1200,
"2018","Canterbury Region","O77 Public Order, Safety and Regulatory Services","Geographic Units",354,
"2018","Canterbury Region","O77 Public Order, Safety and Regulatory Services","Employee Count",5000,
"2018","Canterbury Region","P80 Preschool and School Education","Geographic Units",675,
"2018","Canterbury Region","P80 Preschool and School Education","Employee Count",15900,
"2018","Canterbury Region","P81 Tertiary Education","Geographic Units",78,
"2018","Canterbury Region","P81 Tertiary Education","Employee Count",5300,
"2018","Canterbury Region","P82 Adult, Community and Other Education","Geographic Units",513,
"2018","Canterbury Region","P82 Adult, Community and Other Education","Employee Count",1650,
"2018","Canterbury Region","Q84 Hospitals","Geographic Units",45,
"2018","Canterbury Region","Q84 Hospitals","Employee Count",11600,
"2018","Canterbury Region","Q85 Medical and Other Health Care Services","Geographic Units",2274,
